title,addr1,mapx,mapy,contenttypeid
갈남항,강원특별자치도 삼척시 원덕읍 갈남리 99-20,129.3251150597,37.2807757781,12
갈두마을(땅끝마을),전라남도 해남군 송지면 땅끝마을길 82,126.5285847288,34.2998052878,12
갈두천권역마을,충청남도 태안군 원북면 대기길 12-20,126.2574770059,36.7988972173,12
갈론계곡,충청북도 괴산군 칠성면 칠성로10길 547,127.8531905026,36.7344745015,12
갈마공원,대전광역시 서구 한밭대로 664 (갈마동),127.3721884377,36.3571340745,12
갈마못(갈뫼못),제주특별자치도 서귀포시 표선면 성읍리,126.8116979172,33.3873529469,12
갈매구릉산자락길,경기도 구리시 산마루로 106 (갈매동),127.1238754676,37.6280830442,12
갈매중앙공원,경기도 구리시 갈매동,127.1185814171,37.6311631455,12
갈맷길5코스,부산광역시 강서구 동선동,128.8473273332,35.0371378008,12
갈멜정원,전라남도 보성군 웅치면 봉산리,127.0538844612,34.7020883495,12
갈모봉 산림욕장,경상남도 고성군 고성읍 갈모봉숲길 42,128.2676407226,34.9718346636,12
갈목도,전라남도 진도군 조도면 진목도갈목길 10,125.9471912472,34.3062257853,12
갈목해변,충청남도 서천군 마서면 송석리,126.6359117813,36.0770449561,12
갈미한글공원,경기도 의왕시 문화예술로 65,126.9849674131,37.3780068044,12
갈산공원,경기도 양평군 양평읍 양평체육공원길 24,127.4973262186,37.4836871538,12
갈산근린공원,서울특별시 양천구 신정동 162-56,126.8684105358,37.5061176314,12
갈음이해수욕장,충청남도 태안군 근흥면 정죽리,126.1520087212,36.6957489937,12
갈중이(천연염색체험),제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이,126.3136584209,33.2351423980,12
갈천동초가까치구멍집,경상북도 영덕군 창수면 장육사길 363,129.3218943100,36.5975288568,12
갈천서당,경상남도 거창군 북상면 송계로 767-34,127.8160978214,35.7808909491,12
갈천서원,경상남도 고성군 대가면 갈천로 620,128.2510123914,35.0480785952,12
갈천약수터,강원특별자치도 양양군 서면 구룡령로 1103-66,128.5029086488,37.9058931889,12
갈치저수지,경기도 군포시 속달로 129-49,126.9046676336,37.3331661279,12
갈현체육공원,인천광역시 계양구 황어로 66 (갈현동),126.7285768374,37.5777207077,12
감곡매괴성모순례지성당,충청북도 음성군 감곡면 성당길 10,127.6411569266,37.1213983401,12
감낭오름,제주특별자치도 서귀포시 안덕면 동광리,126.3454537144,33.3225554639,12
감로암(서울),서울특별시 종로구 율곡로23길 16 (충신동),127.0066515383,37.5753815016,12
감만시민부두,부산광역시 남구 감만동 626-1,129.0687505471,35.1097087416,12
