title,addr1,mapx,mapy,eventstartdate,eventenddate
광화문 마켓,서울특별시 종로구 세종대로 175 (세종로),126.9763210635,37.5720618985,20241213,20250105
괴산빨간맛페스티벌,충청북도 괴산군 괴산읍 임꺽정로 92,127.7865442181,36.8145640909,20250523,20250525
구례300리 벚꽃축제,전라남도 구례군 구례읍 서시천로 84-11,127.4665991088,35.2154404229,20250328,20250330
구례산수유꽃축제,전라남도 구례군 산동면 상관1길 45,127.4703072042,35.3196509498,20250315,20250323
구름이 걷히니 달이 비치고 바람 부니 별이 빛난다,서울특별시 중구 을지로 281 (을지로7가),127.0095709797,37.5661076320,20240815,20250430
"구미 청춘, 금오천 벚꽃 페스티벌",경상북도 구미시 산책길 105 (남통동),128.3248461967,36.1229140932,20250402,20250406
구팔일 댕댕이 대잔치!,제주특별자치도 제주시 애월읍 천덕로 880-24,126.3673891687,33.3909038082,20250301,20251231
국가유산 미디어아트,전북특별자치도 군산시 해망로 244-7 (장미동),126.7113961359,35.9911921664,20250808,20251116
국립생태원 CCPP 기후환경 사진 프로젝트 ‘Confession to the Earth’,충청남도 서천군 마서면 금강로 1210,126.7194583721,36.0271354218,20241105,20250202
국토정중앙 달맞이축제,강원특별자치도 양구군 양구읍 박수근로 366-33,127.9814860049,38.1064460195,20250212,20250212
국회동심한마당,서울특별시 영등포구 의사당대로 1,126.9141334174,37.5320321034,20250531,20250531
군산시간여행축제,전북특별자치도 군산시 중앙로1가,126.7117073071,35.9877870048,20251009,20251012
군위 사랑과 나눔 문화축전,대구광역시 군위군 군위읍 군위금성로 307-14,128.6030406458,36.2347481860,20250510,20250510
군포 철쭉축제,경기도 군포시 고산로 470 (산본동),126.9266205400,37.3565526959,20250419,20250427
굿즈이즈굿V.2,서울특별시 강서구 마곡중앙로 143 (마곡동),126.8254071964,37.5667792585,20250306,20250309
궁중문화축전,서울특별시 종로구 사직로 161,126.9769930325,37.5788222356,20250426,20250504
금남로 차 없는 거리 '걷자잉',광주광역시 동구 금남로 245 (금남로1가),126.9187463866,35.1484052758,20250308,20251231
금빛서동 - 누가 무왕이 될 것인가,전북특별자치도 익산시 금마면 고도9길 41-14,127.0609146595,36.0006415547,20250504,20250506
금산 보곡산골 산벚꽃 축제,충청남도 금산군 군북면 자진뱅이길 39,127.5667171482,36.1943616874,20250412,20250420
금산세계인삼축제,충청남도 금산군 금산읍 인삼광장로 30,127.5005394787,36.1001990287,20250919,20250928
금천하모니축제,서울특별시 금천구 시흥대로73길 70 (시흥동),126.8955205706,37.4564933229,20250531,20250601
기지시줄다리기 축제,충청남도 당진시 송악읍 안틀모시길 11,126.6947486805,36.8962157548,20250410,20250413
김제 꽃빛드리 축제,전북특별자치도 김제시 도작로 220 (검산동),126.8999144686,35.8130212655,20250404,20250406
김제 모악산 뮤직페스티벌,전북특별자치도 김제시 금산면 금산리,127.0476870396,35.7205176641,20250426,20250427
김제지평선축제,전북특별자치도 김제시 벽골제로 442,126.8522869016,35.7540632714,20251008,20251012
김포 라베니체축제,경기도 김포시 초당로 54 (장기동),126.6755687199,37.6437176409,20251011,20251011
김포 벚꽃축제,경기도 김포시 북변동,126.7181764487,37.6254538568,20250412,20250412
김포 해병대 문화축제,경기도 김포시 대곶면 대명항1로 110-36,126.5394646034,37.6400684369,20251101,20251101
김포아라마린페스티벌,경기도 김포시 고촌읍 아라육로270번길 74,126.7869848326,37.5977083101,20250531,20250601
김해분청도자기 축제,경상남도 김해시 진례면 분청로 17,128.7459053654,35.2517674455,20251104,20251109
김해한우축제,경상남도 김해시 장유로 551 (신문동),128.8288111020,35.1832877570,20250522,20250525
남동 빛의 거리,인천광역시 남동구 만수동,126.7360188509,37.4415949966,20241022,20251231
남원국제드론제전 with 로봇,전북특별자치도 남원시 충정로 341 (월락동),127.4048573847,35.4285902786,20251016,20251019
남이섬 벗(友)꽃놀자,강원특별자치도 춘천시 남산면 남이섬길 1,127.5255090138,37.7963208193,20250405,20250420
남이섬 어쿠스틱 청춘 페스티벌,강원특별자치도 춘천시 남산면 남이섬길 1,127.5261035858,37.7901159965,20250606,20250615
남이섬세계책나라축제,강원특별자치도 춘천시 남산면 남이섬길 1,127.5261035858,37.7901159965,20250503,20250518
낭만등불축제,경기도 남양주시 불암산로59번길 48-31 (별내동),127.1015407308,37.6512105067,20250301,20260331
네이처파크 미라클 크리스마스,대구광역시 달성군 가창면 가창로 891,128.6353392148,35.7881605357,20241123,20250105
네이처파크 플라워페스티벌,대구광역시 달성군 가창면 가창로 891,128.6353392148,35.7881605357,20250322,20250608
논산딸기축제,충청남도 논산시 관촉동,127.1056055127,36.1954950859,20250327,20250330
다리안 온(溫) 축제,충청북도 단양군 단양읍 소백산등산길 12,128.4208914066,36.9649224612,20250212,20250226
단종문화제,강원특별자치도 영월군 영월읍 하송리,128.4687003093,37.1781071928,20250425,20250427
담양대나무축제,전라남도 담양군 담양읍 죽녹원로 119,126.9863665087,35.3250142404,20250502,20250506
대관령눈꽃축제,강원특별자치도 평창군 대관령로 135-9,128.7110497723,37.6726020057,20250124,20250202
대구데이 페스티벌,대구광역시 수성구 두산동,128.6184867738,35.8294194470,20250620,20250621
대구약령시한방문화축제,대구광역시 중구 남성로,128.5906381638,35.8676257211,20250508,20250511
대구치맥페스티벌,대구광역시 달서구 공원순환로 36,128.5587997668,35.8508964729,20250702,20250706
대덕물빛축제,대전광역시 대덕구 미호동,127.4741317078,36.4731698294,20250328,20250426
대전시립연정국악단 토요국악,대전광역시 서구 둔산대로 181 (만년동),127.3894005357,36.3663860994,20250308,20251122
대전한우숯불구이축제,대전광역시 유성구 월드컵대로 32 (노은동),127.3266089995,36.3638797168,20250409,20250413
대전효문화뿌리축제,대전광역시 중구 뿌리공원로 47 효문화마을관리원,127.3845115010,36.2853841653,20250926,20250928
대청호 벚꽃 축제,대전광역시 동구 신상동,127.4979550424,36.3544921697,20250328,20250406
대한민국 과학기술축제,대전광역시 서구 둔산대로 169 (만년동),127.3879840082,36.3659250159,20250416,20250420
대한민국 독서대전 김포,경기도 김포시 초당로 40 (장기동),126.6738550274,37.6422844441,20250919,20250921
덕수궁 밤의 석조전,서울특별시 중구 세종대로 99,126.9749296905,37.5661486714,20250408,20250525
도서관의 날 · 도서관주간,서울특별시 서초구 반포대로 201 (반포동),127.0045483736,37.4976821568,20250412,20250418
도시캠핑대전,대전광역시 유성구 대덕대로 480 (도룡동),127.3802705364,36.3759931713,20250530,20250608
동대문구 봄꽃축제,서울특별시 동대문구 장안동,127.0753566318,37.5668642825,20250405,20250406
